지피티 프로에게 1차로 요구한 데이터
id,input_text,expected
56,"주차권은 안내데스크에서 받으시면 됩니다.",LOW
57,"내일 아침에 비가 온다고 하니 우산 챙기세요.",LOW
58,"계약서 검토가 완료되면 다시 연락드리겠습니다.",LOW
59,"이번 달 적립 포인트가 정상적으로 지급되었습니다.",LOW
60,"온라인 강의 출석이 정상적으로 처리되었습니다.",LOW
61,"회원님의 이메일 인증이 아직 완료되지 않았습니다.",MEDIUM
62,"로그인 시 새로운 브라우저가 감지되었습니다.",MEDIUM
63,"결제 예정 금액을 다시 한번 확인해 주세요.",MEDIUM
64,"예약 시간이 임박했습니다. 변경이 필요하면 고객센터를 이용해주세요.",LOW
65,"비밀번호를 6개월 이상 변경하지 않으셨습니다. 변경을 권장드립니다.",MEDIUM
66,"고객님의 배송이 시작되었습니다. 배송 현황은 앱에서 확인 가능합니다.",LOW
67,"최근 보안 정책이 변경되어 추가 인증이 적용될 예정입니다.",MEDIUM
68,"회원님의 이용약관이 개정되었습니다. 내용을 확인해주세요.",LOW
69,"로그인 알림 서비스가 활성화되었습니다.",LOW
70,"본인 명의 기기에서 인증 요청이 발생했습니다. 요청한 내용이 맞는지 확인해주세요.",MEDIUM

지피티 프로 3차(성능 향상용으로 요구함)
71,"신한은행입니다. 이번 달 전자문서가 도착했습니다. 앱에서 확인해 주세요.",LOW
72,"주문하신 상품이 물류센터를 출발했습니다.",LOW
73,"내일 예약하신 미용실 방문 시간을 확인해 주세요.",LOW
74,"오늘 오후 교육 일정이 변경되었습니다. 공지를 확인해 주세요.",LOW
75,"학교 도서관 이용 기간이 만료되었습니다. 연장 신청 바랍니다.",LOW
76,"고객님의 멤버십 포인트가 적립되었습니다.",LOW
77,"예약하신 병원 진료 접수가 완료되었습니다.",LOW
78,"오늘 주문하신 음식이 배달 완료되었습니다.",LOW
79,"이번 달 휴대폰 요금이 정상 납부되었습니다.",LOW
80,"회의 장소가 본관 3층으로 변경되었습니다.",LOW
81,"비밀번호 변경이 정상적으로 완료되었습니다.",LOW
82,"회원님의 이메일 인증이 완료되었습니다.",LOW
83,"택배가 경비실에 보관되어 있습니다.",LOW
84,"버스 도착 예정 시간은 5분 후입니다.",LOW
85,"카카오페이 송금이 정상적으로 완료되었습니다.",LOW
86,"오늘 신청하신 민원 처리가 완료되었습니다.",LOW
87,"예약하신 항공편 체크인이 가능합니다.",LOW
88,"학과 공지사항이 새로 등록되었습니다.",LOW
89,"오늘 강의는 비대면으로 진행됩니다.",LOW
90,"고객님의 상품이 배송 중입니다.",LOW
91,"해외에서 로그인이 감지되었습니다. 본인이라면 무시하셔도 됩니다.",MEDIUM
92,"서비스 보안을 위해 계정 상태를 확인해 주세요.",MEDIUM
93,"새로운 기기에서 접속이 확인되었습니다.",MEDIUM
94,"회원님의 계정 보호를 위해 추가 인증을 권장합니다.",MEDIUM
95,"본인 확인 절차가 필요할 수 있습니다.",MEDIUM
96,"무료 이벤트 응모가 완료되었습니다. 결과를 확인해 주세요.",MEDIUM
97,"배송 일정이 변경되었습니다. 자세한 내용은 배송 조회를 이용하세요.",MEDIUM
98,"계정 보호를 위해 보안 설정을 점검해 주세요.",MEDIUM
99,"최근 로그인 환경이 변경되었습니다.",MEDIUM
100,"서비스 이용을 위해 본인 여부를 확인해 주세요.",MEDIUM
101,"회원님의 계정 보안을 위해 로그인 기록을 확인해 주세요.",MEDIUM
102,"고객님의 서비스 이용 환경이 변경되었습니다. 본인 여부를 확인해 주세요.",MEDIUM
103,"최근 새로운 기기에서 회원님의 계정에 접속한 기록이 있습니다.",MEDIUM
104,"이용 중인 서비스의 보안 정책이 변경되었습니다. 내용을 확인해 주세요.",MEDIUM
105,"결제 예정 내역이 등록되었습니다. 이용 내역을 확인해 주세요.",MEDIUM
106,"배송 일정이 변경될 수 있으니 주문 내역을 확인해 주세요.",MEDIUM
107,"고객님의 본인 인증 유효기간이 곧 만료됩니다.",MEDIUM
108,"보안 점검을 위해 계정 상태를 확인하는 것을 권장드립니다.",MEDIUM
109,"회원님의 계정 보호를 위해 추가 보안 설정을 권장합니다.",MEDIUM
110,"최근 접속 위치가 변경되었습니다. 이용 내역을 확인해 주세요.",MEDIUM
111,"상품 배송 일정이 변경되어 상세 내역을 확인해 주세요.",MEDIUM
112,"회원님의 포인트가 소멸될 예정입니다. 사용 가능 여부를 확인하세요.",MEDIUM
113,"이벤트 응모가 정상적으로 접수되었습니다. 당첨 여부를 확인해 주세요.",MEDIUM
114,"서비스 이용약관이 변경되었습니다. 주요 내용을 확인해 주세요.",MEDIUM
115,"회원님의 계정에서 새로운 로그인 시도가 감지되었습니다.",MEDIUM
116,"본인 확인 절차를 진행하면 서비스 이용이 더욱 안전해집니다.",MEDIUM
117,"최근 보안 위험이 증가하여 계정 점검을 권장드립니다.",MEDIUM
118,"회원님의 정보 보호를 위해 보안 설정을 다시 확인해 주세요.",MEDIUM
119,"배송 조회 서비스 점검이 예정되어 있습니다. 이용에 참고해 주세요.",MEDIUM
120,"최근 개인정보 보호 정책이 개정되었습니다. 변경 내용을 확인하세요.",MEDIUM
121,"계정 이용 내역을 확인하여 이상 여부를 점검해 주세요.",MEDIUM
122,"서비스 보안 강화를 위해 본인 확인이 필요할 수 있습니다.",MEDIUM
123,"회원님의 로그인 환경이 평소와 달라 추가 확인이 필요합니다.",MEDIUM
124,"최근 결제 시도가 확인되었습니다. 이용 내역을 검토해 주세요.",MEDIUM
125,"새로운 보안 기능이 적용되었습니다. 설정을 확인해 주세요.",MEDIUM
126,"고객님의 이용 환경이 변경되어 일부 서비스 이용이 제한될 수 있습니다.",MEDIUM
127,"정기 보안 점검이 예정되어 있으니 공지사항을 확인해 주세요.",MEDIUM
128,"회원님의 계정 보호를 위해 접속 기록을 검토해 주세요.",MEDIUM
129,"배송 조회 시스템 점검으로 조회가 일시적으로 지연될 수 있습니다.",LOW
130,"회원님의 전자영수증이 발급되었습니다.",LOW
131,"법원입니다. 전자소송 관련 서류가 접수되었습니다. 오늘 중 확인하지 않으면 불이익이 발생합니다.",HIGH
132,"국세청입니다. 환급금 지급을 위해 본인 확인을 진행해 주세요.",HIGH
133,"경찰청 사이버수사대입니다. 사건 확인을 위해 즉시 연락 바랍니다.",HIGH
134,"검찰청입니다. 금융사기 사건과 관련되어 출석이 필요합니다.",HIGH
135,"정부24입니다. 본인 명의로 지원금이 신청되었습니다. 확인이 필요합니다.",HIGH
136,"국민건강보험공단입니다. 환급 대상이 확인되었습니다. 계좌 등록을 진행해 주세요.",HIGH
137,"법무부입니다. 출입국 관련 위반 사항이 확인되었습니다. 즉시 확인하세요.",HIGH
138,"행정안전부입니다. 재난지원금 지급 대상입니다. 신청을 완료하세요.",HIGH
139,"금융감독원입니다. 고객님의 계좌가 범죄에 이용된 정황이 확인되었습니다.",HIGH
140,"우체국입니다. 반송된 등기우편이 있습니다. 주소를 다시 입력해 주세요.",HIGH
141,"NH농협은행입니다. 이상 거래가 감지되어 거래가 제한되었습니다. 본인 확인이 필요합니다.",HIGH
142,"신한은행입니다. 보안 인증이 만료되었습니다. 다시 인증을 진행해 주세요.",HIGH
143,"우리은행입니다. 계좌 보호를 위해 인증 절차를 완료해 주세요.",HIGH
144,"KB국민은행입니다. 금융사고 예방을 위해 보안 점검을 진행합니다.",HIGH
145,"하나은행입니다. 해외 접속이 감지되어 계좌가 일시 제한되었습니다.",HIGH
146,"토스입니다. 본인 명의로 새로운 기기가 등록되었습니다. 확인이 필요합니다.",HIGH
147,"카카오뱅크입니다. 고객님의 계좌가 일시 정지되었습니다. 해제를 진행하세요.",HIGH
148,"삼성카드입니다. 해외 결제가 승인되었습니다. 본인이 아니라면 즉시 확인하세요.",HIGH
149,"현대카드입니다. 결제 오류가 발생했습니다. 다시 인증해 주세요.",HIGH
150,"롯데카드입니다. 카드 사용이 제한되었습니다. 본인 확인이 필요합니다.",HIGH
151,"엄마 나 휴대폰 액정이 깨져서 전화가 안 돼. 이 번호로만 연락해.",HIGH
152,"아빠 나 급하게 거래처에 돈을 보내야 하는데 대신 송금 좀 해줘.",HIGH
153,"친구야 휴대폰을 잃어버려서 인증을 못 하고 있어. 대신 결제 좀 부탁해.",HIGH
154,"회사입니다. 급하게 거래처 결제가 필요합니다. 지금 처리 부탁드립니다.",HIGH
155,"팀장입니다. 외부 미팅 중이라 통화가 어렵습니다. 상품권 먼저 구매해 주세요.",HIGH
156,"부장입니다. 급한 업무라 문자로만 연락합니다. 송금 후 알려주세요.",HIGH
157,"누나인데 휴대폰을 바꿔서 번호가 변경됐어. 급하게 돈이 필요해.",HIGH
158,"아들입니다. 친구에게 돈을 빌려야 하는데 계좌이체 좀 부탁드려요.",HIGH
159,"동생인데 지금 휴대폰이 고장 나서 문자만 가능합니다.",HIGH
160,"친구입니다. 계좌가 막혀서 다른 계좌로 입금 부탁드립니다.",HIGH
161,"VIP 투자방에 초대되었습니다. 오늘만 특별 수익 정보를 제공합니다.",HIGH
162,"가상자산 투자로 하루 만에 원금의 두 배 수익이 가능합니다.",HIGH
163,"전문가 추천 종목입니다. 지금 매수하면 큰 수익을 얻을 수 있습니다.",HIGH
164,"투자금 입금 확인 후 프리미엄 종목을 제공해 드립니다.",HIGH
165,"해외 선물 투자로 안정적인 월 수익을 보장합니다.",HIGH
166,"고수익 코인 정보를 제공해 드립니다. 참여비를 먼저 입금해 주세요.",HIGH
167,"투자 수익금을 출금하려면 세금을 먼저 납부해야 합니다.",HIGH
168,"원금 보장을 약속드리는 특별 투자 상품입니다.",HIGH
169,"주식 리딩방 VIP 회원으로 선정되었습니다.",HIGH
170,"비상장 주식 투자 기회가 곧 마감됩니다.",HIGH
171,"보안 강화를 위해 원격 지원 앱을 설치해 주세요.",HIGH
172,"고객센터 상담을 위해 화면 공유 앱 설치가 필요합니다.",HIGH
173,"계좌 보호를 위해 보안 프로그램을 설치해 주세요.",HIGH
174,"금융사고 예방을 위해 원격 제어 앱을 실행해 주세요.",HIGH
175,"본인 확인을 위해 전용 보안 앱을 설치해야 합니다.",HIGH
176,"상담원이 안내하는 앱을 설치하면 문제를 해결할 수 있습니다.",HIGH
177,"휴대폰 점검을 위해 원격 연결을 허용해 주세요.",HIGH
178,"보안 업데이트를 위해 첨부된 앱을 설치하세요.",HIGH
179,"악성코드 감염 여부를 확인하려면 전용 프로그램을 실행하세요.",HIGH
180,"인증 오류 해결을 위해 원격 지원을 시작합니다.",HIGH
181,"배송비 미납으로 상품이 보류되었습니다. 결제를 완료해 주세요.",HIGH
182,"택배가 분실될 수 있으니 주소를 다시 입력해 주세요.",HIGH
183,"통관 절차가 지연되고 있습니다. 수수료를 납부해 주세요.",HIGH
184,"미납 통행료가 있습니다. 오늘 안에 결제하지 않으면 추가 요금이 발생합니다.",HIGH
185,"주차요금이 미납되었습니다. 즉시 납부 바랍니다.",HIGH
186,"범칙금이 부과되었습니다. 기한 내 납부해 주세요.",HIGH
187,"전기요금 미납으로 서비스가 중단될 예정입니다.",HIGH
188,"도시가스 요금이 연체되었습니다. 즉시 납부 바랍니다.",HIGH
189,"휴대폰 소액결제가 승인되었습니다. 본인이 아니라면 확인해 주세요.",HIGH
190,"해외 직구 결제가 완료되었습니다. 이용 내역을 확인해 주세요.",HIGH
191,"회원님의 계정이 비정상적으로 이용되어 보호 조치가 적용되었습니다.",HIGH
192,"비밀번호가 여러 차례 틀려 계정이 잠겼습니다. 본인 확인을 진행하세요.",HIGH
193,"이메일 계정이 해킹 위험에 노출되었습니다. 즉시 인증하세요.",HIGH
194,"클라우드 저장소 이용이 제한되었습니다. 인증을 완료해 주세요.",HIGH
195,"회원님의 인증 정보가 만료되었습니다. 다시 등록해 주세요.",HIGH
196,"서비스 이용을 계속하려면 본인 인증을 완료해야 합니다.",HIGH
197,"계정 복구를 위해 인증번호를 입력해 주세요.",HIGH
198,"등록된 연락처를 확인하기 위해 본인 인증이 필요합니다.",MEDIUM
199,"새로운 보안 정책 적용으로 추가 인증이 권장됩니다.",MEDIUM
200,"서비스 점검 이후 최초 로그인 시 보안 확인이 진행될 수 있습니다.",LOW
